purchase_date,approved,canceled,created,delivered,invoiced,processing,shipped,unavailable
2018-08-15,0,5,0,282,0,0,1,0
2018-08-16,0,4,0,316,0,0,0,0
2018-08-17,0,3,0,249,0,0,5,0
2018-08-18,0,2,0,193,0,0,3,0
2018-08-19,0,0,0,204,0,0,0,0
2018-08-20,0,4,0,251,0,0,1,0
2018-08-21,0,3,0,238,0,0,1,1
2018-08-22,0,1,0,185,0,0,1,0
2018-08-23,0,2,0,142,0,0,0,0
2018-08-24,0,2,0,96,0,0,1,0
2018-08-25,0,0,0,69,0,0,0,0
2018-08-26,0,0,0,73,0,0,0,0
2018-08-27,0,1,0,66,0,0,0,0
2018-08-28,0,5,0,39,0,0,0,0
2018-08-29,0,3,0,11,0,0,0,0
2018-08-30,0,4,0,0,0,0,0,0
2018-08-31,0,1,0,0,0,0,0,0
2018-09-03,0,3,0,0,0,0,1,0
2018-09-06,0,3,0,0,0,0,0,0
2018-09-10,0,1,0,0,0,0,0,0
2018-09-11,0,1,0,0,0,0,0,0
2018-09-12,0,1,0,0,0,0,0,0
2018-09-13,0,1,0,0,0,0,0,0
2018-09-17,0,1,0,0,0,0,0,0
2018-09-20,0,1,0,0,0,0,0,0
2018-09-25,0,1,0,0,0,0,0,0
2018-09-26,0,1,0,0,0,0,0,0
2018-09-29,0,1,0,0,0,0,0,0
2018-10-01,0,1,0,0,0,0,0,0
2018-10-03,0,1,0,0,0,0,0,0
2018-10-16,0,1,0,0,0,0,0,0
2018-10-17,0,1,0,0,0,0,0,0
